driver_id,full_name,phone,license_number,vehicle_brand,vehicle_plate,rating,driver_status,joined_at,updated_at
DRV001953,Hồ Phúc,0423466617,GPLX-34032944,Hyundai,90A-26481,4.01,offline,2022-03-12 09:35:14,2026-08-04 09:35:14
DRV001770,Hoàng Quân,0949294898,GPLX-79218308,Mitsubishi,60A-36841,3.81,busy,2022-07-06 09:35:14,2026-08-02 09:35:14
DRV000315,Trần Ngọc,0860612202,GPLX-34674273,VinFast,27A-83504,3.77,offline,2024-07-21 09:35:14,2026-08-05 09:35:14
DRV001458,Ngô Việt,0859391834,GPLX-82191491,Honda,93A-90295,3.81,offline,2022-03-20 09:35:14,2026-08-03 09:35:14
DRV003726,Ngô Giang,0478274628,GPLX-40166055,Mitsubishi,26A-33240,3.72,offline,2022-01-18 09:35:14,2026-08-04 09:35:14
DRV000569,Phạm Việt,0418438503,GPLX-18041852,Kia,47A-92246,3.89,busy,2026-03-13 09:35:14,2026-08-05 09:35:14
DRV001186,Võ Sơn,0795789186,GPLX-31196137,Hyundai,30A-36997,4.61,available,2022-03-06 09:35:14,2026-07-31 09:35:14
DRV002651,Ngô Hải,0975315694,GPLX-49173064,Honda,32A-48120,3.75,busy,2025-07-29 09:35:14,2026-08-01 09:35:14
DRV003096,Vũ Sơn,0683781554,GPLX-46434526,Mazda,46A-77887,4.16,available,2025-01-31 09:35:14,2026-07-31 09:35:14
DRV001504,Hồ Việt,0423342420,GPLX-88116103,Toyota,34A-29132,3.96,offline,2022-06-04 09:35:14,2026-08-03 09:35:14
DRV000299,Võ Sơn,0881435471,GPLX-33699696,Kia,20A-22147,4.73,offline,2025-03-30 09:35:14,2026-07-31 09:35:14
DRV002400,Hoàng Hà,0491351309,GPLX-88887925,VinFast,81A-41225,4.04,offline,2022-12-06 09:35:14,2026-08-04 09:35:14
DRV001129,Dương Long,0857535695,GPLX-20658473,Ford,97A-88329,3.69,offline,2022-03-27 09:35:14,2026-08-01 09:35:14
DRV000071,Hoàng Giang,0968417374,GPLX-35647448,Toyota,59A-29791,4.9,busy,2022-04-25 09:35:14,2026-08-04 09:35:14
DRV003212,Vũ Yến,0364503009,GPLX-75072820,Ford,32A-22086,4.13,busy,2024-09-11 09:35:14,2026-08-06 09:35:14
DRV001269,Phan Giang,0601314936,GPLX-14617736,Mazda,20A-71741,4.69,busy,2023-06-15 09:35:14,2026-08-06 09:35:14
DRV003934,Đặng Trang,0666323668,GPLX-21287594,Mitsubishi,56A-62963,3.7,offline,2022-09-08 09:35:14,2026-08-03 09:35:14
DRV000322,Hoàng Bình,0940531570,GPLX-91640727,Hyundai,17A-50032,4.05,available,2025-09-16 09:35:14,2026-08-06 09:35:14
DRV003470,Võ An,0492767877,GPLX-65358798,Kia,96A-19193,3.58,offline,2022-08-13 09:35:14,2026-08-04 09:35:14
DRV003524,Hồ Trang,0817330509,GPLX-18527074,Ford,36A-25136,3.64,available,2025-10-16 09:35:14,2026-08-05 09:35:14
DRV001437,Phan Phúc,0964414742,GPLX-81901819,Ford,53A-75030,4.73,available,2025-02-22 09:35:14,2026-08-02 09:35:14
DRV000185,Đỗ Hải,0868714565,GPLX-46692327,Toyota,91A-70364,3.84,available,2025-09-20 09:35:14,2026-08-06 09:35:14
DRV002762,Nguyễn Trang,0707366035,GPLX-83172178,VinFast,18A-36155,4.66,available,2026-01-02 09:35:14,2026-08-03 09:35:14
DRV002237,Vũ Ngọc,0765659755,GPLX-64249822,Toyota,24A-65840,3.74,offline,2026-03-02 09:35:14,2026-08-01 09:35:14
DRV003376,Bùi Hà,0802833431,GPLX-29527256,Hyundai,73A-13798,3.5,available,2022-12-30 09:35:14,2026-08-02 09:35:14
DRV003246,Ngô Sơn,0661773580,GPLX-77064401,Mitsubishi,28A-95532,4.72,available,2025-02-10 09:35:14,2026-08-06 09:35:14
DRV002442,Huỳnh Hoàng,0692725599,GPLX-93525246,Honda,91A-48670,4.61,busy,2023-09-01 09:35:14,2026-08-05 09:35:14
DRV002068,Hồ Vân,0835758778,GPLX-40248059,Kia,97A-46534,4.35,offline,2022-04-19 09:35:14,2026-08-06 09:35:14
DRV003536,Trần Vân,0704988426,GPLX-52388189,VinFast,38A-13773,3.62,available,2025-11-19 09:35:14,2026-08-04 09:35:14
DRV001685,Vũ Ngọc,0506250649,GPLX-13505106,Mazda,69A-18688,4.13,available,2023-06-26 09:35:14,2026-08-04 09:35:14
DRV000167,Vũ An,0397251881,GPLX-13046418,Mitsubishi,49A-23734,3.98,available,2024-09-13 09:35:14,2025-09-11 09:35:14
DRV001211,Hoàng Mai,0691254911,GPLX-36614680,Kia,57A-64440,4.15,offline,2023-01-14 09:35:14,2026-08-06 09:35:14
DRV003791,Phạm Việt,0822828859,GPLX-56211381,Kia,91A-93926,3.63,available,2024-02-27 09:35:14,2026-08-04 09:35:14
DRV003377,Hồ Thảo,0799523991,GPLX-51586577,Toyota,45A-64383,4.3,available,2022-08-19 09:35:14,2026-08-02 09:35:14
DRV001489,Phan Việt,0490342770,GPLX-20869569,Toyota,73A-99184,4.03,offline,2025-11-28 09:35:14,2026-08-01 09:35:14
DRV003678,Hoàng Mai,0347783097,GPLX-52935114,Ford,77A-41495,4.98,available,2023-11-08 09:35:14,2026-02-09 09:35:14
DRV000799,Lê Quân,0911797278,GPLX-50439602,Ford,14A-69454,3.8,available,2023-07-02 09:35:14,2026-08-02 09:35:14
DRV000464,Phan Linh,0606796538,GPLX-94674493,Hyundai,97A-58586,4.23,available,2025-03-17 09:35:14,2026-08-03 09:35:14
DRV000212,Võ Sơn,0786163949,GPLX-77774957,Mitsubishi,15A-62941,4.07,available,2025-09-03 09:35:14,2026-08-03 09:35:14
DRV002597,Phan Hạnh,0701939346,GPLX-31988305,Mitsubishi,83A-10185,4.61,INVALID_DRIVER_STATUS,2024-04-29 09:35:14,2026-07-31 09:35:14
DRV001908,Ngô Vân,0999207335,GPLX-97236798,Ford,37A-87905,4.35,available,2025-12-17 09:35:14,2026-08-06 09:35:14
DRV000950,Lê Mai,0870044964,GPLX-12540698,Hyundai,66A-81713,4.53,busy,2026-04-07 09:35:14,2026-08-04 09:35:14
DRV001136,Đỗ Thảo,0845305523,GPLX-36733395,Mazda,73A-35739,4.55,offline,2026-01-03 09:35:14,2026-07-31 09:35:14
DRV003545,Trần Việt,0810957388,GPLX-14583338,Ford,90A-47483,4.22,suspended,2021-10-29 09:35:14,2026-08-05 09:35:14
DRV002634,Dương Yến,0901034070,GPLX-80161814,Mitsubishi,85A-19147,4.2,offline,2021-10-26 09:35:14,2026-08-01 09:35:14
DRV001537,Nguyễn Minh,0792899513,GPLX-31282927,Mitsubishi,98A-30936,3.57,available,2024-09-22 09:35:14,2026-07-31 09:35:14
DRV001814,Phan An,0433875364,GPLX-45964860,Mazda,13A-21542,4.94,available,2023-02-07 09:35:14,2026-08-04 09:35:14
DRV001007,Trần Hiếu,0471872666,GPLX-79164937,Honda,33A-36033,4.17,offline,2024-10-09 09:35:14,2026-07-31 09:35:14
DRV002869,Đặng Dũng,0556601937,GPLX-72450721,VinFast,41A-59626,4.49,busy,2024-04-19 09:35:14,2026-08-03 09:35:14
DRV001565,Trần Vân,0703848406,GPLX-87713282,Toyota,92A-43316,4.13,busy,2025-08-22 09:35:14,2025-08-26 09:35:14
DRV000694,Nguyễn Trang,0579737684,GPLX-37495139,Kia,42A-89218,3.88,available,2025-07-17 09:35:14,2026-08-06 09:35:14
DRV000015,Nguyễn An,0762483627,GPLX-33442183,Mitsubishi,95A-55879,4.46,offline,2026-06-25 09:35:14,2026-08-03 09:35:14
DRV001158,Hồ Bình,0530521012,GPLX-18689258,Ford,59A-77121,3.59,busy,2026-01-13 09:35:14,2026-08-02 09:35:14
DRV001583,Huỳnh Nga,0689932280,GPLX-50240655,Mazda,97A-35503,4.07,suspended,2022-04-21 09:35:14,2026-07-31 09:35:14
DRV002097,Lê Hiếu,0338333796,GPLX-14885954,Ford,34A-94347,4.86,available,2023-10-18 09:35:14,2026-08-01 09:35:14
DRV000009,Phạm Phong,0456886527,GPLX-87299552,Toyota,12A-20006,4.09,available,2023-04-02 09:35:14,2026-08-05 09:35:14
DRV002289,Phan Việt,0790304385,GPLX-74983787,Honda,15A-43433,3.75,busy,2025-07-13 09:35:14,2026-08-02 09:35:14
DRV003606,Bùi Khánh,0414035615,GPLX-23102276,Toyota,29A-92904,4.49,busy,2022-09-30 09:35:14,2026-07-31 09:35:14
DRV003182,Hoàng Bình,0816186532,GPLX-26654138,VinFast,32A-73906,3.9,busy,2026-05-19 09:35:14,2026-08-06 09:35:14
DRV002779,Vũ Nam,0853024771,GPLX-16841870,Mitsubishi,36A-61210,3.54,offline,2024-08-07 09:35:14,2026-07-31 09:35:14
DRV000719,Hồ Bình,0565274903,GPLX-95004721,Ford,47A-84828,4.35,busy,2022-11-14 09:35:14,2026-08-06 09:35:14
DRV002000,Hồ Hải,0761663992,GPLX-55878296,Toyota,42A-52184,4.79,available,2021-11-12 09:35:14,2026-08-01 09:35:14
DRV000355,Đặng Trang,0737700785,GPLX-45506183,Toyota,24A-10639,4.33,busy,2024-07-09 09:35:14,2026-08-03 09:35:14
DRV002867,Huỳnh Hiếu,0747583421,GPLX-41150432,Kia,85A-89072,3.84,busy,2024-05-18 09:35:14,2026-08-06 09:35:14
DRV000830,Hoàng Khánh,PHONE_ERROR,GPLX-12806835,Mitsubishi,55A-25099,4.84,available,2025-08-16 09:35:14,2026-08-06 09:35:14
DRV002393,Bùi Sơn,0785023530,GPLX-98437428,Ford,36A-29940,4.95,busy,2024-09-10 09:35:14,2026-08-02 09:35:14
DRV002469,Võ Minh,0458723309,GPLX-46483702,Toyota,30A-89195,3.64,busy,2022-02-18 09:35:14,2026-08-01 09:35:14
DRV001753,Lê Trang,0706024952,GPLX-31230824,Hyundai,36A-81138,4.77,busy,2025-09-11 09:35:14,2026-08-03 09:35:14
DRV000965,Đỗ Hoàng,0330462881,GPLX-57792757,VinFast,71A-13325,4.97,busy,2022-02-15 09:35:14,2026-07-31 09:35:14
DRV002992,Hồ Trung,0465038987,GPLX-45520045,VinFast,98A-67697,4.6,available,2025-03-07 09:35:14,2026-08-04 09:35:14
DRV000866,Trần Sơn,0552900195,GPLX-29055133,Mazda,68A-41087,4.96,suspended,2022-10-26 09:35:14,2026-08-04 09:35:14
DRV002590,Bùi Hiếu,0774360883,GPLX-89397643,Hyundai,60A-34516,4.63,available,2025-04-29 09:35:14,2026-08-04 09:35:14
DRV001193,Bùi Hiếu,0449698400,GPLX-66299507,Ford,53A-49953,4.44,offline,2023-10-19 09:35:14,2026-08-05 09:35:14
DRV001838,Ngô Sơn,0389980943,GPLX-93417713,Ford,53A-75346,4.93,available,2026-05-17 09:35:14,2026-07-31 09:35:14
DRV001721,Bùi Bình,0405260105,GPLX-64593653,Honda,82A-46056,3.98,busy,2025-01-13 09:35:14,2026-08-04 09:35:14
DRV001062,Hoàng Hà,0414831200,GPLX-63856762,Ford,75A-70877,4.01,available,2021-10-13 09:35:14,2026-08-04 09:35:14
DRV003179,Lê Giang,0490124604,GPLX-18263305,Mitsubishi,37A-66070,4.94,offline,2023-06-18 09:35:14,2026-08-04 09:35:14
DRV001868,Trần Nga,0524825145,GPLX-55172395,VinFast,26A-16684,4.97,busy,2022-06-03 09:35:14,2026-08-03 09:35:14
DRV003933,Đỗ Trung,0336864516,GPLX-66348424,Kia,50A-93422,3.95,offline,2021-08-25 09:35:14,2026-08-01 09:35:14
DRV002668,Phạm Bình,0370111700,GPLX-46650377,Mazda,20A-16679,4.88,available,2025-04-11 09:35:14,2026-08-02 09:35:14
DRV002298,Dương Minh,0311339432,GPLX-38372166,Mazda,12A-82615,4.92,busy,2023-11-11 09:35:14,2026-08-05 09:35:14
DRV001553,Phạm Thảo,0957324609,GPLX-72145496,Hyundai,52A-11455,4.29,available,2026-04-23 09:35:14,2026-07-31 09:35:14
DRV000880,Bùi Việt,0841036691,GPLX-31530988,Ford,42A-53874,4.99,busy,2024-10-16 09:35:14,2026-08-03 09:35:14
DRV000033,Võ Việt,0820191983,GPLX-23169747,Hyundai,83A-46393,4.71,available,2021-12-01 09:35:14,2026-08-06 09:35:14
DRV000487,Hồ Linh,0856691315,GPLX-13480609,Kia,36A-47962,4.69,available,2023-10-31 09:35:14,2026-08-04 09:35:14
DRV001510,Lê Long,0860501365,GPLX-56182719,Honda,93A-32525,3.93,available,2022-04-01 09:35:14,2026-08-01 09:35:14
DRV000535,Bùi Phong,0980625657,GPLX-30050380,Hyundai,21A-72019,3.95,busy,2023-03-25 09:35:14,2026-08-03 09:35:14
DRV000808,Bùi Hùng,0467841950,GPLX-60396632,Honda,26A-33725,4.22,busy,2023-12-25 09:35:14,2026-08-06 09:35:14
DRV002881,Trần Dũng,0448707073,GPLX-92515704,Ford,29A-27839,3.97,offline,2023-03-10 09:35:14,2026-08-03 09:35:14
DRV003180,Bùi Mai,0769830047,GPLX-31110198,Honda,69A-80089,3.58,available,2026-01-02 09:35:14,2026-07-31 09:35:14
DRV000034,Hồ Tuấn,0424056687,GPLX-68371961,VinFast,30A-67542,4.89,available,2022-02-09 09:35:14,2026-08-06 09:35:14
DRV003672,Trần Giang,0828639435,GPLX-47447621,Honda,64A-84652,4.07,offline,2023-01-12 09:35:14,2026-08-05 09:35:14
DRV000832,Ngô Phúc,0701907728,GPLX-60508569,Honda,44A-48942,3.54,suspended,2023-01-22 09:35:14,2026-07-31 09:35:14
DRV002212,Nguyễn Hiếu,0976417333,GPLX-76462099,Hyundai,87A-93346,3.76,offline,2024-01-28 09:35:14,2026-08-06 09:35:14
DRV002169,Trần An,0409067333,GPLX-42269548,Kia,85A-30886,4.26,available,2023-07-18 09:35:14,2026-08-05 09:35:14
DRV000206,Võ Việt,0320093480,GPLX-92129999,Honda,94A-90323,3.62,offline,2022-10-04 09:35:14,2026-08-03 09:35:14
DRV001927,Nguyễn Việt,0354419724,GPLX-12490468,Mazda,80A-42745,4.95,busy,2024-12-30 09:35:14,2026-08-06 09:35:14
DRV003106,Võ Hạnh,0421785350,GPLX-77186159,Mazda,66A-53615,4.74,available,2023-09-26 09:35:14,2026-08-04 09:35:14
DRV000306,Đỗ Việt,0447243902,GPLX-71224758,Mitsubishi,71A-12331,3.97,busy,2021-10-22 09:35:14,2026-08-04 09:35:14
DRV001815,Vũ Yến,0617653059,GPLX-59274146,Mitsubishi,71A-18233,4.64,available,2022-04-02 09:35:14,2026-08-01 09:35:14
DRV001887,Phan Khánh,0694373214,GPLX-87402188,VinFast,14A-55757,4.2,offline,2026-01-14 09:35:14,2026-08-04 09:35:14
DRV002554,Huỳnh Yến,0585294382,INVALID_LICENSE,Hyundai,26A-33309,4.44,busy,2024-12-22 09:35:14,2026-08-03 09:35:14
DRV002025,Bùi Giang,0447428965,GPLX-53961309,Toyota,24A-92903,4.56,available,2023-01-02 09:35:14,2026-08-06 09:35:14
DRV000316,Hồ Quân,0351087043,GPLX-44685171,VinFast,53A-72023,4.99,available,2024-07-20 09:35:14,2026-08-05 09:35:14
DRV003621,Huỳnh Hải,0867013411,GPLX-25741939,Kia,63A-32560,4.26,busy,2024-05-11 09:35:14,2026-08-03 09:35:14
DRV001648,Nguyễn Khánh,0767773635,GPLX-45921567,VinFast,27A-61454,4.6,busy,2025-12-17 09:35:14,2026-08-06 09:35:14
DRV002128,Vũ Hải,0732296579,GPLX-76958269,VinFast,61A-47722,4.98,busy,2025-08-21 09:35:14,2026-08-02 09:35:14
DRV000271,Phan Việt,0834885932,GPLX-52061621,Hyundai,64A-98477,4.3,suspended,2026-02-01 09:35:14,2026-08-01 09:35:14
DRV002290,Vũ An,0457198636,GPLX-25650641,Ford,28A-70815,3.8,offline,2022-09-27 09:35:14,2026-08-05 09:35:14
DRV003513,Phan Phong,0436226832,GPLX-47024322,Kia,22A-18390,4.99,offline,2024-01-02 09:35:14,2026-07-31 09:35:14
DRV003845,Trần Hiếu,0434420704,GPLX-20191873,Honda,82A-67774,3.91,offline,2025-08-22 09:35:14,2026-08-05 09:35:14
DRV003035,Trần An,0531282180,GPLX-33641951,VinFast,59A-13418,4.62,busy,2024-10-14 09:35:14,2026-07-31 09:35:14
DRV001378,Đặng Nam,0316529113,GPLX-68805128,Mitsubishi,55A-87418,4.79,offline,2025-04-01 09:35:14,2026-08-02 09:35:14
DRV000817,Phan Hùng,0949315764,GPLX-14297819,Ford,68A-49589,4.38,busy,2022-10-08 09:35:14,2026-08-03 09:35:14
DRV002689,Trần Linh,0661353575,GPLX-47219992,Kia,13A-37122,4.97,busy,2025-12-29 09:35:14,2026-03-07 09:35:14
DRV003817,Hồ Việt,0711770985,GPLX-35079424,Mitsubishi,78A-70335,4.57,busy,2022-12-09 09:35:14,2025-09-29 09:35:14
DRV003101,Huỳnh Dũng,0447234432,GPLX-97317339,Hyundai,64A-60534,4.76,available,2022-11-11 09:35:14,2026-08-02 09:35:14
DRV000677,Đỗ Thảo,0616976914,GPLX-43114568,Honda,34A-71613,3.77,busy,2025-11-09 09:35:14,2026-08-01 09:35:14
DRV001739,Phạm Tuấn,0643116219,GPLX-92860749,VinFast,56A-69357,4.03,busy,2021-12-17 09:35:14,2026-08-02 09:35:14
DRV000894,Võ Hùng,0450698596,GPLX-42547030,Honda,93A-88372,3.62,busy,2026-06-18 09:35:14,2026-08-02 09:35:14
DRV003472,Võ Tuấn,0499506586,GPLX-23087396,Honda,50A-68587,4.2,suspended,2023-09-11 09:35:14,2026-08-06 09:35:14
DRV002096,Võ Vân,0726242231,GPLX-83554793,Hyundai,90A-46695,4.53,available,2023-12-09 09:35:14,2026-08-03 09:35:14
DRV000745,Đỗ Khánh,0862653679,GPLX-45084151,VinFast,90A-92434,4.1,busy,2024-03-18 09:35:14,2026-08-06 09:35:14
DRV001056,Trần Dũng,0758967621,GPLX-66427119,Hyundai,36A-55245,4.47,busy,2022-01-24 09:35:14,2026-08-03 09:35:14
DRV001755,Hoàng Dũng,0465314089,GPLX-80553006,Ford,45A-87589,4.83,offline,2023-06-05 09:35:14,2026-08-03 09:35:14
DRV001124,Đỗ Khánh,0586835431,GPLX-85417717,Ford,57A-69396,4.5,available,2021-09-26 09:35:14,2026-08-05 09:35:14
DRV001114,Hoàng Nam,0658599189,GPLX-73297354,Mitsubishi,21A-85549,4.91,busy,2022-03-05 09:35:14,2026-08-06 09:35:14
DRV003808,Lê Nam,0592272827,GPLX-18577184,VinFast,86A-11584,3.56,available,2025-09-04 09:35:14,2026-08-05 09:35:14
DRV003133,Phan Nga,0366856976,GPLX-21116304,Mazda,84A-55970,4.24,offline,2024-06-18 09:35:14,2026-08-03 09:35:14
DRV001939,Đỗ Nam,0700242306,GPLX-96481874,Ford,92A-85876,4.24,available,2024-03-23 09:35:14,2026-08-04 09:35:14
DRV001930,Trần Trung,0920532786,GPLX-49237455,Mazda,32A-82974,4.58,available,2022-02-15 09:35:14,2026-08-03 09:35:14
DRV001897,Bùi Hà,0607436382,GPLX-31417402,Honda,18A-92532,3.55,offline,2023-09-08 09:35:14,2026-08-01 09:35:14
DRV001205,Đặng Việt,0847191317,GPLX-79303031,Kia,67A-15717,4.26,available,2024-11-14 09:35:14,2025-09-24 09:35:14
DRV002248,Ngô Minh,0308775706,GPLX-87340675,VinFast,75A-32671,4.95,offline,2023-08-05 09:35:14,2026-08-06 09:35:14
DRV003564,Hoàng An,0427013042,GPLX-34236339,Ford,42A-36514,4.53,available,2024-07-13 09:35:14,2026-08-03 09:35:14
DRV002982,Vũ Trang,0476643124,GPLX-79118816,Honda,11A-42137,4.3,offline,2022-06-17 09:35:14,2026-08-01 09:35:14
DRV003027,Đặng Phúc,0357709509,GPLX-74089102,Honda,55A-79767,4.18,available,2024-10-31 09:35:14,2026-08-06 09:35:14
DRV002577,Vũ Quân,0536252309,GPLX-58297287,Mitsubishi,13A-33166,4.01,busy,2025-01-20 09:35:14,2026-08-05 09:35:14
DRV003413,Đặng Dũng,0368906128,GPLX-70373751,Toyota,96A-16681,4.22,offline,2022-12-29 09:35:14,2026-08-03 09:35:14
DRV001898,Trần Linh,0953607372,GPLX-87612354,Honda,83A-88452,3.66,offline,2026-06-06 09:35:14,2026-08-04 09:35:14
DRV000643,Đỗ Ngọc,0825335931,GPLX-63496935,Hyundai,30A-98311,3.91,INVALID_DRIVER_STATUS,2023-04-16 09:35:14,2026-07-31 09:35:14
DRV003541,Dương Hoàng,0458147888,GPLX-17061779,Mazda,26A-33562,4.36,available,2024-04-23 09:35:14,2026-08-04 09:35:14
DRV001147,Đỗ Minh,0839637343,GPLX-38575887,Toyota,74A-72047,4.09,busy,2024-11-17 09:35:14,2026-08-02 09:35:14
DRV000180,Bùi Dũng,0549219575,GPLX-15091385,Mitsubishi,59A-72031,4.52,busy,2022-03-18 09:35:14,2026-08-03 09:35:14
DRV002217,Bùi Chiến,0356244994,GPLX-57742826,Mitsubishi,43A-38024,4.44,offline,2026-06-23 09:35:14,2026-08-05 09:35:14
DRV000230,Vũ Hùng,0543606905,GPLX-79217062,Kia,19A-25320,4.2,busy,2023-12-19 09:35:14,2026-08-05 09:35:14
DRV001628,Phạm Bình,0376999307,GPLX-38970722,Mitsubishi,97A-71588,3.75,available,2024-02-18 09:35:14,2026-08-03 09:35:14
DRV001744,Bùi Nam,0390121353,GPLX-12440320,Mitsubishi,58A-41176,4.54,available,2025-10-11 09:35:14,2026-07-31 09:35:14
DRV002342,Huỳnh Hải,0735001024,GPLX-87872298,Mazda,42A-18871,4.26,suspended,2025-05-14 09:35:14,2026-08-04 09:35:14
DRV000018,Huỳnh Tuấn,0599206945,GPLX-42136434,Hyundai,45A-89490,4.73,busy,2024-03-24 09:35:14,2026-07-31 09:35:14
DRV001642,Huỳnh Hà,0624322854,GPLX-79669243,Honda,NO-PLATE,4.09,busy,2023-10-16 09:35:14,2025-08-21 09:35:14
DRV002330,Nguyễn Yến,0470727229,GPLX-77333125,VinFast,23A-68784,4.75,busy,2024-10-03 09:35:14,2026-08-04 09:35:14
DRV001028,Nguyễn Hiếu,0533935424,GPLX-88337795,Ford,74A-64768,3.52,available,2025-01-24 09:35:14,2026-08-06 09:35:14
DRV000595,Phạm Việt,0958424630,GPLX-16602258,Hyundai,68A-30819,3.87,offline,2023-08-12 09:35:14,2026-08-03 09:35:14
DRV000415,Phạm Hiếu,0433191729,GPLX-19468832,VinFast,11A-73190,3.53,busy,2024-07-05 09:35:14,2026-08-03 09:35:14
DRV003157,Hồ Minh,0790365459,GPLX-74119811,Toyota,97A-99353,4.49,available,2026-02-05 09:35:14,2026-07-31 09:35:14
DRV001188,Đỗ Phong,0798889768,GPLX-26135249,Mitsubishi,91A-54117,4.8,busy,2025-04-28 09:35:14,2026-08-06 09:35:14
DRV002429,Hồ Chiến,0652672555,GPLX-51803544,VinFast,98A-46674,3.83,offline,2024-07-06 09:35:14,2026-08-03 09:35:14
DRV002507,Phạm Bình,0792598933,GPLX-94179677,Ford,43A-72723,4.71,available,2023-10-26 09:35:14,2026-08-03 09:35:14
DRV000367,Ngô Hoàng,0764628913,GPLX-15920408,Hyundai,59A-13043,4.56,available,2023-09-16 09:35:14,2026-08-05 09:35:14
DRV002303,Phạm Trung,0463318346,GPLX-76343057,Honda,12A-84273,3.97,available,2024-07-06 09:35:14,2026-07-31 09:35:14
DRV002619,Trần Nam,0837946716,GPLX-32202208,Kia,23A-19984,3.62,busy,2022-05-23 09:35:14,2026-08-03 09:35:14
DRV002441,Nguyễn Hải,0525838209,GPLX-55253143,Mazda,73A-16166,4.27,available,2025-08-21 09:35:14,2026-08-01 09:35:14
DRV002836,Nguyễn Dũng,0519456773,GPLX-30365413,Hyundai,97A-28694,4.65,available,2022-08-12 09:35:14,2026-08-06 09:35:14
DRV003984,Đỗ Tuấn,0401369949,GPLX-74151279,Mazda,83A-56516,4.26,available,2024-04-28 09:35:14,2026-07-31 09:35:14
DRV001019,Hoàng Vân,0611671008,GPLX-79531886,Mitsubishi,63A-73925,4.22,available,2023-05-12 09:35:14,2026-08-04 09:35:14
DRV001594,Dương Hùng,0523349363,GPLX-69709727,Mazda,64A-11354,3.56,offline,2021-12-15 09:35:14,2026-08-04 09:35:14
DRV001106,Nguyễn Mai,0690170651,GPLX-59556907,Mazda,21A-19240,4.54,offline,2022-09-03 09:35:14,2026-08-01 09:35:14
DRV002568,Hồ Long,0440360123,GPLX-48336490,VinFast,66A-57570,4.15,offline,2021-10-22 09:35:14,2026-08-06 09:35:14
DRV000528,Nguyễn Bình,0677218418,GPLX-25293566,Honda,84A-14273,4.24,available,2026-01-18 09:35:14,2026-08-06 09:35:14
DRV003971,Đặng Hoàng,0556387669,GPLX-63755063,Toyota,78A-48842,4.14,busy,2022-01-09 09:35:14,2026-08-01 09:35:14
